group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples
M_academic-educator,programmer_Long,1.0,1.0,3.896217098865596e-05,-1,TRAD_BY,10.0
M_academic-educator,programmer_Long,1.0,1.0,3.896217098865596e-05,-1,TRAD_BY,10.0
Drama,college-grad student_Long,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
Long_Drama,M_college-grad student,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
Long_Drama,M_college-grad student_Long,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
Long_Drama,M_college-grad student,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
Drama,M_college-grad student,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
Long_Drama,college-grad student,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
Drama,M_college-grad student,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
Long_Drama,college-grad student_Long,1.0,1.0,3.9345991678138136e-05,-1,TRAD_BY,10.0
M_executive-managerial,35-44_scientist_Long_Comedy,1.0,1.0,4.357408468809716e-05,-1,TRAD_BY,10.0
Long_Horror,M_35-44_scientist_Comedy,1.0,1.0,4.913568603282415e-05,-1,TRAD_BY,10.0
academic-educator,35-44_scientist_Comedy,1.0,1.0,4.949192582413636e-05,-1,TRAD_BY,10.0
War,F,1.0,1.0,5.326363159549992e-05,-1,TRAD_BY,10.0
M_Action,M_35-44_Long_Comedy,1.0,1.0,5.564289008505856e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_35-44_programmer,1.0,1.0,5.573990037917909e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_35-44_programmer_Long,1.0,1.0,5.573990037917909e-05,-1,TRAD_BY,10.0
M_academic-educator,M_18-24_other_Long,1.0,1.0,5.816492049138695e-05,-1,TRAD_BY,10.0
M_academic-educator,M_18-24_other_Long,1.0,1.0,5.816492049138695e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_18-24_other_Long,1.0,1.0,5.816492049138695e-05,-1,TRAD_BY,10.0
M_25-34_Horror,M_18-24_other,1.0,1.0,5.968977938431437e-05,-1,TRAD_BY,10.0
25-34_Long_Horror,M_18-24_other,1.0,1.0,5.968977938431437e-05,-1,TRAD_BY,10.0
War,F_Long,1.0,1.0,6.198075839832485e-05,-1,TRAD_BY,10.0
War,F_Long,1.0,1.0,6.198075839832485e-05,-1,TRAD_BY,10.0
Long_War,F,1.0,1.0,6.198075839832485e-05,-1,TRAD_BY,10.0
Long_War,F,1.0,1.0,6.198075839832485e-05,-1,TRAD_BY,10.0
35-44_academic-educator,18-24_other_Long,1.0,1.0,6.347085195815231e-05,-1,TRAD_BY,10.0
F_Drama,18-24_other,1.0,1.0,6.483847065859024e-05,-1,TRAD_BY,10.0
F_Drama,M_18-24_other,1.0,1.0,6.483847065859024e-05,-1,TRAD_BY,10.0
Long_Horror,M_scientist_Long_Comedy,1.0,1.0,6.484354094630414e-05,-1,TRAD_BY,10.0
M_executive-managerial,M_18-24_other,1.0,1.0,6.531938342881266e-05,-1,TRAD_BY,10.0
M_25-34_executive-managerial,M_18-24_other,1.0,1.0,6.531938342881266e-05,-1,TRAD_BY,10.0
25-34_executive-managerial,M_18-24_other,1.0,1.0,6.531938342881266e-05,-1,TRAD_BY,10.0
M_Action,M_35-44_Comedy,1.0,1.0,6.674408715723801e-05,-1,TRAD_BY,10.0
M_Action,M_35-44_Comedy,1.0,1.0,6.674408715723801e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_18-24_other_Long,1.0,1.0,6.976450943824195e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator,M_35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator,M_35-44_programmer,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator,M_35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_35-44_programmer,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator,35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_35-44_programmer,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_35-44_programmer,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator,M_35-44_programmer,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator,M_35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator,35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_academic-educator_Long,M_35-44_programmer_Long,1.0,1.0,7.272360014915318e-05,-1,TRAD_BY,10.0
M_35-44,Adventure,1.0,1.0,7.563218246446324e-05,-1,TRAD_BY,10.0
M_35-44_Long,Adventure,1.0,1.0,7.563218246446324e-05,-1,TRAD_BY,10.0
sales-marketing,M_college-grad student,1.0,1.0,7.978810605680042e-05,-1,TRAD_BY,10.0
sales-marketing,college-grad student_Long,1.0,1.0,7.978810605680042e-05,-1,TRAD_BY,10.0
sales-marketing,college-grad student,1.0,1.0,7.978810605680042e-05,-1,TRAD_BY,10.0
sales-marketing_Long,M_college-grad student_Long,1.0,1.0,7.978810605680042e-05,-1,TRAD_BY,10.0
academic-educator_Long,35-44_scientist_Long_Comedy,1.0,1.0,8.099320554955089e-05,-1,TRAD_BY,10.0
M_25-34_Horror,M_18-24_other_Long,1.0,1.0,8.130715345492458e-05,-1,TRAD_BY,10.0
M_Long_Horror,M_18-24_other,1.0,1.0,8.284153800640264e-05,-1,TRAD_BY,10.0
25-34_Long_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
M_25-34_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
M_25-34_Long_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
25-34_Long_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
M_25-34_Long_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
M_25-34_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
25-34_Horror,M_18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
25-34_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
25-34_Horror,18-24_other,1.0,1.0,8.362998176610616e-05,-1,TRAD_BY,10.0
F_Long_Drama,M_18-24_other,1.0,1.0,8.495320085755574e-05,-1,TRAD_BY,10.0
F_Drama,M_18-24_other,1.0,1.0,8.495320085755574e-05,-1,TRAD_BY,10.0
F_Drama,M_18-24_other,1.0,1.0,8.495320085755574e-05,-1,TRAD_BY,10.0
M_35-44_Long,M_Adventure,1.0,1.0,8.837418612416124e-05,-1,TRAD_BY,10.0
M_35-44_Long,M_Long_Adventure,1.0,1.0,8.837418612416124e-05,-1,TRAD_BY,10.0
M_35-44_Long,M_Long_Adventure,1.0,1.0,8.837418612416124e-05,-1,TRAD_BY,10.0
M_35-44,M_Adventure,1.0,1.0,8.837418612416124e-05,-1,TRAD_BY,10.0
M_35-44_Long,M_Long_Adventure,1.0,1.0,8.837418612416124e-05,-1,TRAD_BY,10.0
M_35-44_Long,M_Adventure,1.0,1.0,8.837418612416124e-05,-1,TRAD_BY,10.0
