group1,group2,coverage_gained_1,coverage_gained_2,p-value,threshold,method,adjustment
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Long_Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
Drama,M_scientist,0.8285714285714286,0.25,9.949875520543503e-12,-1,Traditional,Benjamini
sales-marketing_Long,M_35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,Traditional,Benjamini
sales-marketing_Long,35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,Traditional,Benjamini
sales-marketing,35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,Traditional,Benjamini
sales-marketing,M_35-44_Long,0.8285714285714286,0.25,9.284753049707884e-11,-1,Traditional,Benjamini
sales-marketing_Long,M_35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,Traditional,Benjamini
sales-marketing,35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,Traditional,Benjamini
sales-marketing,M_35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,Traditional,Benjamini
sales-marketing_Long,35-44_Long,0.8285714285714286,0.25,1.7610845135004988e-10,-1,Traditional,Benjamini
