num_max_hypo,threshold,method,adjustment,Candidates,Hypothesis,Without_Adjust,grouping_time,Best_pairs,Min_p_value,Max_p_value,Sum_p_value,Cov_period_1,Cov_period_2,Cov_total,p_value_adjustement_time
10.0,10,Coverage_alpha_investing,gamma_20,0,0,0,0,10.0,2.514304320300198e-10,0.0005130332803019444,0.0016117665470951614,0.7560386473429952,0.7295597484276729,0.7427991978853341,2.008441925048828
10.0,10,Coverage_alpha_investing,gamma_50,0,0,0,0,10.0,2.514304320300198e-10,0.00010122165056059007,0.0001480896899259676,0.7028985507246377,0.6886792452830188,0.6957888980038283,2.311117172241211
10.0,10,Coverage_alpha_investing,gamma_100,0,0,0,0,10.0,2.514304320300198e-10,0.00010122165056059007,0.0001480896899259676,0.7028985507246377,0.6886792452830188,0.6957888980038283,2.2956738471984863
10.0,10,Coverage_alpha_investing,gamma_200,0,0,0,0,10.0,2.514304320300198e-10,1.9477430387770944e-05,5.924150802449901e-05,0.7125603864734299,0.6540880503144654,0.6833242183939476,2.502408027648926
10.0,5,Traditional,Benjamini,0,0,0,0,5.0,2.0253686658408146e-22,1.0994975798547812e-17,1.1274036010459457e-17,0.06521739130434782,0.09119496855345911,0.07820617992890347,58.32084012031555
10.0,5,Traditional,Bonferroni,0,0,0,0,5.0,2.0253686658408146e-22,1.0994975798547812e-17,1.1274036010459457e-17,0.06521739130434782,0.09119496855345911,0.07820617992890347,58.319498777389526
10.0,5,Coverage_Two_Sides,Benjamini,0,0,0,0,5.0,2.514304320300198e-10,0.0009341506351707718,0.0012786746103268243,0.6328502415458938,0.49056603773584906,0.5617081396408714,58.62339544296265
10.0,5,Coverage_Two_Sides,Bonferroni,0,0,0,0,5.0,2.514304320300198e-10,1.1522425365506628e-05,2.2612737032523533e-05,0.5555555555555556,0.46855345911949686,0.5120545073375262,58.63084268569946
10.0,5,Coverage_Side_1,Benjamini,0,0,0,0,5.0,1.2052937632625812e-08,0.0003131964946871957,0.0003244794471773795,0.6835748792270532,0.14150943396226415,0.41254215659465865,58.43244028091431
10.0,5,Coverage_Side_1,Bonferroni,0,0,0,0,5.0,1.2052937632625812e-08,1.1522425365506628e-05,2.2805377855690482e-05,0.6376811594202898,0.16981132075471697,0.40374624008750337,58.59631395339966
10.0,5,Coverage_Side_2,Benjamini,0,0,0,0,5.0,2.514304320300198e-10,0.0005130332803019444,0.0008175681705773548,0.37922705314009664,0.6572327044025157,0.5182298787713062,58.4368679523468
10.0,5,Coverage_Side_2,Bonferroni,0,0,0,0,5.0,2.4386009655997348e-19,4.274071770171695e-06,4.93132390821962e-06,0.10869565217391304,0.5628930817610063,0.3357943669674597,58.499515771865845
10.0,5,Coverage_alpha_investing,gamma_20,0,0,0,0,5.0,2.514304320300198e-10,0.0005130332803019444,0.0008575572554579969,0.5797101449275363,0.5377358490566038,0.55872299699207,0.9213879108428955
10.0,5,Coverage_alpha_investing,gamma_50,0,0,0,0,5.0,2.514304320300198e-10,0.00010122165056059007,0.00012374572968154585,0.5845410628019324,0.46540880503144655,0.5249749339166895,1.0249719619750977
10.0,5,Coverage_alpha_investing,gamma_100,0,0,0,0,5.0,2.514304320300198e-10,0.00010122165056059007,0.00012374572968154585,0.5845410628019324,0.46540880503144655,0.5249749339166895,1.0248923301696777
10.0,5,Coverage_alpha_investing,gamma_200,0,0,0,0,5.0,2.514304320300198e-10,1.9477430387770944e-05,4.200150950872672e-05,0.5314009661835749,0.5094339622641509,0.5204174642238629,1.5690350532531738
20.0,-1,Traditional,Benjamini,0,0,0,0,3336.0,0.0,0.003392785600431325,1.6917566481086925,1.0,1.0,1.0,113.95580005645752
20.0,-1,Traditional,Bonferroni,0,0,0,0,1234.0,0.0,9.275653314544385e-06,0.0021238689285095445,0.9927536231884058,0.9748427672955975,0.9837981952420016,112.71172618865967
20.0,-1,Coverage_Two_Sides,Benjamini,0,0,0,0,35.0,3.475581310907015e-23,0.00197585110322529,0.009271024226339476,1.0,1.0,1.0,113.23447680473328
20.0,-1,Coverage_Two_Sides,Bonferroni,0,0,0,0,46.0,6.370123801049377e-16,8.492441309293497e-06,4.675265200951919e-05,0.9927536231884058,0.9748427672955975,0.9837981952420016,114.69972038269043
20.0,-1,Coverage_Side_1,Benjamini,0,0,0,0,34.0,0.0,0.0012226968343445055,0.002518106458750315,1.0,0.5534591194968553,0.7767295597484276,112.84065699577332
