grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
40-44_110,24,35-39_115,110,30-34_221,80,0.013429523647523063
60-64_115,26,50-54_115,42,30-34_115,80,0.019772345103978524
50-54_115,50,45-49_115,81,35-39_221,92,0.01776851053608571
50-54_115,50,Others,121,45-49_115,51,0.010492384992100522
60-64_115,26,30-34_Others,36,25-29_115,29,0.04163511405782622
40-44_110,24,25-29_115,50,25-29,110,0.02865058740663001
60-64_115,26,25-29_115,50,25-29_221,44,0.009423718001504145
30-34_110,29,40-44_115,91,40-44_115,93,0.0015585825351017088
30-34_221,79,55-59,28,Unknown,35,0.04859843971813412
60-64,33,40-44_221,70,25-29,110,0.0018474141505775748
60-64,33,50-54,74,25-29,110,0.001060132158589543
60-64_115,26,45-49_115,81,<25,59,0.0025488815301927662
30-34_115,99,Others,121,40-44_221,68,0.008130534188122195
50-54,80,114,71,30-34_221,80,0.012598237574153476
60-64,33,40-44_115,91,35-39_221,92,0.0009954595679104832
30-34_110,29,60-64,27,106,40,0.02043426953973228
50-54_115,50,40-44_115,91,>65,49,0.029922364877851465
60-64,33,50-54_115,42,25-29,110,0.0015163760293145602
30-34_115,99,25-29,120,45-49_115,51,0.011567765150595653
40-44_221,74,35-39_221,88,50-54,75,0.042377164538898754
40-44_221,74,55-59,28,<25,59,0.041978134868279
60-64,33,110,102,110,96,0.008158934319702977
35-39,303,35-39_221,88,40-44_115,93,0.011920393623881477
50-54_115,50,Others,121,50-54_115,36,0.014479371864966284
30-34_110,29,25-29,120,40-44_115,93,0.00010753224605036923
50-54_115,50,25-29,120,Unknown,35,0.009900946040187708
30-34_115,99,40-44_115,91,50-54,75,0.0015903382633368974
50-54_115,50,35-39_Others,28,<25,59,0.03788445193090551
60-64,33,30-34_Others,36,30-34_221,80,0.0014028292886122805
30-34_110,29,<25,47,<25_115,28,0.02299417342038703
40-44_110,24,Others,121,Others,113,0.0360125550006553
25-29,132,25-29,120,30-34,214,0.00765529035055781
25-29_221,28,25-29,120,50-54,75,0.014977939333944515
30-34_115,99,40-44_221,70,40-44_115,93,0.006846532305597056
30-34_110,29,50-54_115,42,25-29,110,0.0003489218592936537
30-34_115,99,40-44_Others,21,50-54,75,0.006165567924938506
50-54_115,50,<25,47,25-29,110,0.01666037811952488
60-64,33,110,102,Others,113,0.03462272047976379
45-49,183,110,102,25-29,110,0.0023894446898799853
45-49,183,<25,47,40-44_115,93,0.02646657887611706
50-54,80,35-39_221,88,106,40,0.020968612038708645
30-34,255,45-49,177,45-49,138,0.0001001473375734302
30-34_110,29,25-29,120,45-49_115,51,0.0001606050555133076
45-49,183,25-29,120,40-44_221,68,0.03401115817386372
50-54_115,50,40-44_115,91,Others,113,0.016925485697086535
60-64,33,40-44_221,70,Others,113,0.012138076112662263
50-54,80,35-39_221,88,Others,113,0.014406540630014182
30-34_110,29,30-34_221,89,40-44_221,68,0.00017767872566771587
60-64,33,Unknown,45,Unknown,35,0.04605203637917834
50-54,80,50-54_115,42,110,96,0.01674306201592849
50-54_115,50,Unknown,45,30-34_115,80,0.01957532275067179
60-64_115,26,110,102,30-34_221,80,0.03180523580584852
40-44_114,24,30-34_221,89,110,96,0.02395899697525739
30-34_115,99,110,102,45-49_221,37,0.005742733794778452
30-34_110,29,35-39_115,110,Unknown,35,0.0004997772690172981
50-54_115,50,30-34_Others,36,25-29,110,0.009430163766511717
50-54_115,50,60-64,27,30-34_221,80,0.031555987084658954
114,61,25-29,120,35-39_115,132,0.04690938061157972
25-29,132,110,102,30-34,214,0.0013084211088118757
50-54_115,50,25-29_115,50,114,55,0.037992806509423334
35-39_115,126,35-39_115,110,50-54,75,0.007700807303085256
40-44_115,118,30-34,223,Others,113,0.001815832714775913
25-29_221,28,25-29,120,30-34_115,80,0.028857775244642652
60-64,33,<25,47,35-39_110,28,0.04449003061294981
40-44_110,24,114,71,30-34_221,80,0.04669472829688903
50-54,80,114,71,110,96,0.009192101832773181
35-39_115,126,25-29,120,50-54,75,0.005658817251877599
30-34_221,79,55-59,28,45-49_221,37,0.029272092078299346
40-44_110,24,25-29,120,<25,59,0.006824501632918532
30-34_110,29,25-29,120,25-29,110,5.841686009286419e-06
50-54,80,50-54,74,30-34,214,5.5955832553354405e-05
50-54_115,50,55-59,28,25-29,110,0.017901902671571917
50-54_115,50,40-44_Others,21,<25,59,0.033073117916193696
50-54_115,50,25-29_115,50,<25_115,28,0.034773409561300934
60-64_115,26,114,71,25-29,110,0.005097684736089126
35-39_221,108,60-64,27,50-54,75,0.0488367538647301
60-64,33,Others,121,Unknown,35,0.0017552507417466932
60-64_115,26,35-39_Others,28,30-34_115,80,0.033958923262288464
40-44_221,74,40-44_115,91,50-54,75,0.04689356525101499
30-34_110,29,25-29_221,33,40-44_221,68,0.03671172598605794
110,112,30-34_221,89,40-44_115,93,0.019621537679290604
25-29,132,25-29,120,50-54,75,0.03223490945773969
60-64,33,50-54_115,42,45-49_221,37,0.03921315235941426
50-54_115,50,35-39_114,21,30-34_115,80,0.04370316229890866
60-64,33,50-54,74,40-44_221,68,0.03704271745910387
30-34_110,29,40-44_Others,21,25-29_115,29,0.04134251539717757
60-64,33,25-29_221,33,110,96,0.0023655414521962575
50-54,80,25-29_221,33,25-29,110,0.01667895432890972
30-34_115,99,25-29_221,33,40-44_221,68,0.018922423395992156
60-64,33,30-34_221,89,40-44_115,93,0.0007446806554784967
50-54_115,50,35-39_221,88,45-49_115,51,0.043415117413976925
30-34_115,99,40-44_115,91,45-49_115,51,0.015785355882396126
30-34_110,29,30-34_115,57,45-49_115,51,0.041883566774041724
60-64_115,26,<25,47,110,96,0.010216769079989974
60-64,33,114,71,Others,113,0.0037450382202679987
30-34_110,29,35-39_Others,28,30-34_221,80,0.0020839742328683554
60-64,33,50-54,74,40-44_115,93,0.03806755159126254
30-34_110,29,<25,47,35-39_110,28,0.01979667872483691
30-34_221,79,35-39_115,110,40-44_221,68,0.02086574710531943
30-34_110,29,45-49_115,81,30-34_221,80,6.795611031659692e-05
30-34_110,29,Others,121,110,96,7.298138391230249e-06
50-54,80,25-29,120,40-44_221,68,0.005785562544656373
30-34_110,29,55-59,28,25-29,110,0.0012190659566012805
45-49,183,30-34,223,Others,113,0.0043291295379749095
30-34_110,29,25-29_115,50,35-39_110,28,0.0020863240351639708
40-44_115,118,30-34_221,89,40-44_115,93,0.04213025832509721
30-34_110,29,30-34_Others,36,106,40,0.0048758584881539386
50-54,80,Others,121,30-34_221,80,0.0014960622112686454
30-34_221,79,25-29_221,33,50-54,75,0.02345995739284477
40-44_115,118,25-29,120,40-44_115,93,0.04798810140634598
60-64,33,35-39_221,88,25-29,110,0.0002262555632126385
30-34_221,79,55-59,28,35-39_Others,36,0.033622542383906585
30-34_110,29,25-29_221,33,30-34_221,80,0.0010387641268870735
35-39_115,126,40-44_221,70,30-34,214,0.024260382185409924
35-39,303,30-34,223,45-49,138,0.005499450027144453
40-44_110,24,25-29,120,40-44_115,93,0.010911407764708832
40-44_110,24,30-34_Others,36,30-34_221,80,0.03529857083889849
50-54,80,>65,35,110,96,0.032730442600682925
30-34_110,29,50-54_115,42,<25_115,28,0.015003613976336934
30-34_110,29,35-39_221,88,114,55,0.0007574937647638047
30-34_110,29,60-64,27,25-29,110,0.0006141938616373039
25-29_221,28,35-39_115,110,<25,59,0.01591742595322155
25-29_221,28,Others,121,45-49_115,51,0.04340670005521799
60-64,33,45-49_221,53,Others,113,0.01343240823118668
40-44_110,24,114,71,<25,59,0.025611979431474217
50-54,80,30-34_221,89,Others,113,0.0030625721279385018
60-64,33,Unknown,45,106,40,0.011487963108274869
30-34_221,79,40-44_221,70,50-54,75,0.020669045127579944
60-64_115,26,Others,121,30-34_115,80,0.002177390538005226
50-54_115,50,30-34_115,57,25-29,110,0.02204109567307299
50-54_115,50,110,102,25-29,110,0.02109170735243824
25-29_221,28,35-39_115,110,114,55,0.04650580385096848
30-34_221,79,30-34_221,89,40-44_221,68,0.010263954803074442
60-64,33,50-54_115,42,25-29_221,44,0.012157503105158937
25-29_221,28,35-39_115,110,40-44_221,68,0.034204934582706535
50-54,80,35-39_221,88,40-44_115,93,0.039810174299553885
60-64_115,26,35-39_114,21,<25,59,0.017739820917426707
60-64_115,26,50-54,74,110,96,0.007073482388240284
50-54_115,50,Unknown,45,<25,59,0.012509206269434572
60-64,33,50-54,74,106,40,0.013893882630937856
30-34_110,29,25-29_115,50,35-39_Others,36,0.0029769383967941775
30-34_115,99,30-34_221,89,35-39_221,92,0.03159168887784956
30-34_110,29,40-44_115,91,Others,113,0.0002191742679903836
60-64,33,114,71,40-44_221,68,0.020287751237121853
60-64,33,45-49_115,81,45-49_221,37,0.004864922918943219
Unknown,46,35-39_115,110,50-54,75,0.01615013470441297
35-39_115,126,110,102,30-34,214,0.00023040821621307038
40-44_110,24,110,102,25-29,110,0.03357558300862252
45-49_115,93,25-29,120,40-44_221,68,0.04750761978795443
30-34_115,99,50-54_115,42,45-49_115,51,0.024976707082320092
50-54,80,35-39_115,110,50-54,75,0.012012607562766404
30-34_110,29,40-44_221,70,40-44_221,68,0.028979073454352494
50-54_115,50,50-54,74,30-34_115,80,0.023476501896876605
60-64,33,114,71,35-39_221,92,0.003358039452467561
45-49,183,30-34_221,89,40-44_115,93,0.004992644353719392
60-64_115,26,35-39_115,110,114,55,0.004260975519531321
50-54,80,45-49_221,53,110,96,0.021244582017752252
30-34_110,29,50-54_115,42,45-49_221,37,0.01605014670565909
60-64_115,26,35-39_Others,28,25-29,110,0.014778881085094595
60-64,33,50-54_115,42,30-34_115,80,0.004701080094259899
50-54,80,45-49_115,81,35-39_221,92,0.018282091615331866
40-44_110,24,55-59,28,<25,59,0.03536396914015398
35-39,303,30-34_221,89,40-44_115,93,0.004027402010568553
50-54_115,50,114,71,Others,113,0.03876016972527076
30-34_115,99,40-44_221,70,114,55,0.027195640807077176
60-64,33,25-29,120,25-29,110,4.7196762046702264e-05
60-64,33,50-54_115,42,110,96,0.0016355326619123653
114,61,30-34_221,89,30-34,214,0.0015569147637495184
60-64,33,35-39_114,21,25-29,110,0.0025610910050058795
25-29_221,28,25-29,120,35-39_Others,36,0.04055221221539504
40-44_114,24,110,102,25-29,110,0.04415031242569159
30-34_221,79,30-34_221,89,45-49_115,51,0.01849017846271278
45-49_115,93,55-59,28,<25,59,0.021014979772178255
30-34_221,79,55-59,28,25-29,110,0.014429333946290795
60-64,33,50-54_115,42,25-29_115,29,0.027816805821249294
50-54_115,50,25-29,120,40-44_221,68,0.005527606400340336
30-34_110,29,35-39_221,88,25-29,110,3.479009663424958e-05
30-34_115,99,55-59,28,45-49_221,37,0.008176459314422032
30-34_110,29,50-54,74,30-34_221,80,0.0003739355296591395
60-64,33,35-39_221,88,40-44_115,93,0.005054968571651085
30-34_110,29,40-44_Others,21,25-29_221,44,0.013571542792562369
60-64,33,50-54,74,Others,113,0.006584716044685611
60-64,33,Unknown,45,<25,59,0.0015616486807221368
30-34_110,29,50-54_115,42,50-54_115,36,0.04163877384395394
30-34_110,29,35-39_114,21,30-34_221,80,0.0014597743447648912
30-34_110,29,35-39_110,29,55-59,37,0.03325099212998754
30-34_110,29,110,102,30-34_221,80,0.006048989024183706
Others,116,30-34,223,30-34,214,0.0034765603515986483
30-34_221,79,>65,35,30-34_221,80,0.04316171860808688
30-34_221,79,40-44_221,70,40-44_221,68,0.049684795157783276
30-34_110,29,35-39_221,88,50-54,75,0.006058128492463262
50-54_115,50,55-59,28,30-34_221,80,0.036321825129820164
60-64_115,26,35-39_221,88,25-29,110,0.002348673357401682
60-64_115,26,35-39_Others,28,<25,59,0.022788370480128883
60-64,33,35-39_115,110,114,55,0.0006586333051903722
30-34_115,99,40-44_221,70,40-44_221,68,0.0120193413257426
60-64_115,26,40-44_Others,21,25-29,110,0.011365753948285165
30-34_110,29,25-29,120,50-54_115,36,0.0002632586663485672
60-64,33,30-34_115,57,110,96,0.0034269678213622893
<25,90,25-29_115,50,50-54,75,0.034298597496083535
50-54,80,35-39_115,110,40-44_221,68,0.009260654570823914
60-64,33,30-34_Others,36,50-54_221,22,0.03038401787913962
60-64,33,25-29_115,50,<25,59,0.0005850176369323394
60-64,33,55-59,28,<25,59,0.011499863960089575
30-34_115,99,>65,35,40-44_221,68,0.012322898748352802
25-29_221,28,25-29,120,106,40,0.03186188522546639
30-34_110,29,25-29,120,55-59,37,0.0002546942870289843
35-39,303,50-54,74,40-44_115,93,0.014060934400876898
30-34_115,99,40-44_Others,21,40-44_221,68,0.011427976721125012
30-34_110,29,<25,47,35-39_221,92,0.0036672895129882654
221,388,40-44,236,35-39,321,0.023180873943113977
50-54,80,55-59,28,110,96,0.02644180915133843
50-54,80,35-39_115,110,40-44_115,93,0.008430875179169586
50-54_115,50,25-29_115,50,35-39_Others,36,0.0444139629443932
35-39_221,108,25-29_115,50,50-54,75,0.016330653755283742
110,112,30-34,223,45-49,138,0.0009761585649941155
60-64_115,26,25-29_115,50,25-29_115,29,0.017092946163191774
40-44_221,74,25-29,120,40-44_115,93,0.03130176788350497
30-34_110,29,30-34_Others,36,45-49_115,51,0.018707600899532547
30-34_110,29,30-34_221,89,50-54,75,0.0011634650068606798
45-49,183,35-39_115,110,50-54,75,0.0016019680197292086
30-34_110,29,114,71,50-54,75,0.02574855419580879
50-54,80,35-39_115,110,45-49_221,37,0.007839929137059278
40-44_110,24,Others,121,35-39_Others,36,0.04278522649983411
114,61,110,102,25-29,110,0.04305982013202971
30-34_110,29,30-34_221,89,>65,49,8.640042059750471e-05
60-64_115,26,30-34_Others,36,110,96,0.005234829173219861
30-34_115,99,30-34_115,57,45-49_115,51,0.04386257616789884
30-34_110,29,35-39_114,21,25-29,110,0.0006755997104787328
60-64,33,45-49_115,81,<25,59,0.00040379699893318947
50-54_115,50,35-39_114,21,110,96,0.023729656148651697
25-29_221,28,55-59,28,25-29,110,0.04470449405430816
35-39_221,108,55-59,28,50-54,75,0.03613639619794652
50-54,80,30-34_221,89,30-34_221,80,0.001127218758428753
30-34_110,29,114,71,40-44_221,68,0.0066011667646011735
Others,116,50-54,74,30-34,214,0.04128682080210848
50-54_115,50,25-29_221,33,30-34_221,80,0.02828521851328797
50-54,80,35-39_115,110,<25,59,0.0013021363865011295
45-49_115,93,110,102,Others,113,0.029775289315349535
Others,116,35-39_115,110,40-44_115,93,0.04918240592310925
45-49_115,93,110,102,114,55,0.04890520612108722
40-44_114,24,30-34_221,89,114,55,0.04160776237401785
45-49_115,93,55-59,28,30-34_115,80,0.04558688354186127
60-64,33,45-49_115,81,45-49_115,51,0.010012214151310773
40-44_115,118,30-34_221,89,50-54,75,0.015105297677160788
60-64_115,26,45-49_221,53,25-29,110,0.008642071421845754
60-64,33,30-34_Others,36,45-49_115,51,0.04203961969833064
50-54_115,50,35-39_115,110,40-44_115,93,0.0077165423798889
60-64,33,35-39_110,29,25-29,110,0.001160314737762958
50-54,80,50-54,74,<25,59,0.016462155811706444
60-64_115,26,25-29_115,50,35-39_Others,36,0.02567501936430823
30-34_110,29,60-64,27,30-34_221,80,0.0012735847791958874
30-34_110,29,40-44_221,70,114,55,0.016140095896195923
60-64_115,26,25-29,120,40-44_221,68,0.002850918322551031
114,61,25-29,120,30-34_221,80,0.03907883684745026
50-54_115,50,45-49_115,81,40-44_115,93,0.04938285373906894
60-64,33,35-39_115,110,45-49_221,37,0.000655930226989765
30-34_115,99,50-54,74,45-49_115,51,0.01790228618800382
30-34_115,99,40-44_221,70,30-34_221,80,0.020969524275470806
40-44_110,24,25-29,120,114,55,0.023778715588854745
60-64_115,26,50-54_115,42,110,96,0.008702948599355373
60-64,33,35-39_115,110,30-34_221,80,7.21953532313778e-05
60-64_115,26,30-34_221,89,30-34_221,80,0.00042363455873461065
50-54,80,30-34_221,89,>65,49,0.006356942777911306
30-34_110,29,30-34_115,57,35-39_Others,36,0.026371794736839635
25-29_221,28,35-39_115,110,50-54,75,0.02279807269851177
30-34_115,99,>65,35,110,96,0.016586069596872845
30-34_110,29,40-44_221,70,106,40,0.010538899760495359
50-54,80,40-44_115,91,30-34,214,2.17582353708537e-05
30-34_110,29,35-39_110,29,25-29_221,44,0.00380537260830192
30-34_110,29,30-34_115,57,35-39_110,28,0.018694440185976637
30-34,255,30-34,223,40-44_115,93,5.946203493402148e-10
60-64_115,26,25-29_115,50,25-29,110,0.0028877875231994423
60-64_115,26,Unknown,45,30-34_221,80,0.006939857322370977
110,112,35-39_221,88,50-54,75,0.03202150545557842
50-54,80,Others,121,40-44_115,93,0.008122751444783976
30-34_115,99,45-49_221,53,Others,113,0.01456197931506075
60-64,33,30-34_Others,36,30-34_115,80,0.002983796054080059
45-49,183,110,102,Others,113,0.00598701244108533
114,61,30-34_221,89,30-34_221,80,0.023050308692011322
30-34_110,29,30-34_221,89,114,55,0.00010022630518526734
60-64,33,35-39_110,29,30-34_115,80,0.0038627383914446047
50-54_115,50,55-59,28,30-34_115,80,0.04307055266022934
30-34_110,29,Others,121,Unknown,35,0.0004415649812039949
40-44_110,24,30-34_221,89,35-39_221,92,0.008777402957755157
30-34_110,29,35-39_Others,28,114,55,0.04092666849937141
30-34_110,29,35-39_110,29,50-54_221,22,0.021624612392113045
30-34_110,29,Unknown,45,>65,49,0.0055317972035163554
Others,116,35-39_221,88,50-54,75,0.041179064992016776
30-34_115,99,45-49_221,53,<25,59,0.007740505618076429
40-44_110,24,25-29_115,50,30-34_221,80,0.01805953800131627
25-29_221,28,25-29_115,50,<25,59,0.03052202676908496
35-39_115,126,110,102,35-39_221,92,0.04093182233425971
30-34_115,99,<25,47,>65,49,0.0341339353359514
60-64_115,26,Others,121,25-29,110,0.0011151876274429803
60-64_115,26,35-39_221,88,110,96,0.0019275181705096732
60-64,33,Unknown,45,50-54_115,36,0.04390976938574603
30-34_110,29,30-34_Others,36,35-39_Others,36,0.010792999053917965
60-64_115,26,Unknown,45,30-34_115,80,0.0133574845495105
30-34_110,29,45-49_115,81,110,96,4.567271019396027e-05
60-64_115,26,>65,35,110,96,0.019014188322920428
60-64,33,60-64,27,30-34_221,80,0.004438533278634184
60-64_115,26,35-39_Others,28,110,96,0.016031050845141975
110,112,30-34,223,35-39_115,132,0.0011575132692353612
25-29_221,28,35-39_115,110,>65,49,0.04585265218343459
50-54_115,50,25-29_115,50,106,40,0.027301615756111043
30-34_110,29,Unknown,45,50-54_221,22,0.01096570514516565
30-34_110,29,35-39_115,110,50-54,75,0.0009764569781402762
30-34_115,99,55-59,28,50-54_115,36,0.015396580038909936
35-39_Others,26,25-29,120,50-54,75,0.020459245372228093
30-34_115,99,Others,121,40-44_115,93,0.0019223074683538135
30-34_110,29,45-49_115,81,>65,49,0.001104971798920484
35-39_221,108,45-49_221,53,50-54,75,0.039407756644453576
35-39_221,108,40-44_221,70,50-54,75,0.040842389689927955
30-34_110,29,45-49_221,53,<25,59,0.0012220013551624744
30-34_110,29,60-64,27,>65,49,0.027490228636379132
30-34_115,99,30-34_221,89,50-54,75,0.00044662816338536727
40-44_110,24,35-39_115,110,25-29,110,0.021056978486385124
114,61,35-39_115,110,40-44_115,93,0.038621579848554105
221,388,35-39,295,45-49,138,0.0060441545522491626
30-34_115,99,35-39_115,110,50-54,75,0.0006892340019662098
25-29,132,30-34,223,45-49,138,0.0009852807053062562
40-44_115,118,30-34,223,30-34,214,0.0022942019335611455
40-44_114,24,25-29,120,110,96,0.042236076737346404
30-34_115,99,25-29_221,33,45-49_115,51,0.02852390420863972
35-39,303,45-49,177,40-44_115,93,0.013019050668069394
50-54_115,50,35-39_Others,28,30-34_115,80,0.048825510997333225
60-64,33,35-39_115,110,30-34_115,80,0.0002009973562329987
30-34_110,29,40-44_Others,21,>65,49,0.04003703150125649
30-34_110,29,45-49_221,53,25-29,110,0.0004465287678426396
40-44_110,24,Others,121,40-44_221,68,0.025954801906906994
50-54_115,50,Others,121,<25,59,0.0014747285156021543
30-34_110,29,40-44_221,70,110,96,0.0005232564380983347
25-29,132,30-34,223,40-44_115,93,0.00018839975231624027
60-64,33,Others,121,30-34_221,80,7.500297454496378e-05
60-64_115,26,35-39_221,88,40-44_221,68,0.019883895742655623
30-34,255,40-44_115,91,30-34,214,0.005562194560382226
60-64,33,25-29_115,50,30-34_221,80,0.0004890207280266309
40-44_115,118,110,102,30-34_221,80,0.04715785840471259
40-44_221,74,40-44_221,70,30-34,214,0.019858621505289657
35-39_221,108,50-54_115,42,50-54,75,0.0398290184453863
60-64,33,30-34_Others,36,25-29_115,29,0.01658474737812837
30-34_110,29,50-54,74,114,55,0.0070484326316041885
30-34_110,29,45-49_115,81,106,40,0.000732343269105738
30-34_110,29,40-44_Others,21,30-34_221,80,0.0015624351352757334
30-34_110,29,40-44_Others,21,25-29,110,0.0006884685342506494
60-64_115,26,45-49_115,81,50-54_115,36,0.04255682712685729
50-54,80,110,102,30-34,214,8.777762040616894e-05
60-64,33,40-44_Others,21,25-29,110,0.002562482133029767
30-34_110,29,35-39_221,88,45-49_115,51,0.0019422446296026514
60-64,33,55-59,28,25-29_221,44,0.04866744440278441
50-54,80,35-39_115,110,25-29,110,0.0011369065138307575
50-54_115,50,30-34_115,57,30-34_221,80,0.033994418034406046
50-54,80,35-39_115,110,30-34,214,9.149662311879662e-06
60-64,33,50-54,74,110,96,0.0011430452336153927
60-64_115,26,25-29_115,50,114,55,0.021015725221262774
30-34_110,29,50-54_115,42,50-54_221,22,0.023919623125837362
60-64,33,40-44_Others,21,30-34_115,80,0.008918132897238461
45-49,183,110,102,45-49_115,51,0.008882305005705304
60-64,33,110,102,25-29,110,0.005488059690809632
45-49_115,93,110,102,110,96,0.009906943219238285
40-44_114,24,25-29_115,50,<25,59,0.04198180183220685
30-34_110,29,114,71,30-34_115,80,0.00046687950527331837
35-39_221,108,55-59,28,<25,59,0.03538502074743967
60-64_115,26,50-54,74,25-29,110,0.00703702705953074
30-34_110,29,Unknown,45,55-59,37,0.01873293346005382
60-64,33,30-34_Others,36,110,96,0.0009133328191546687
50-54_115,50,Others,121,40-44_115,93,0.007621410579463863
30-34_110,29,60-64,27,45-49_221,37,0.037234426253045114
30-34_110,29,35-39_Others,28,25-29,110,0.0009370678578510595
30-34_110,29,Others,121,Others,113,3.9670123507616045e-05
60-64_115,26,25-29,120,Unknown,35,0.006166605568108773
35-39_115,126,45-49_115,81,50-54,75,0.02486731334787762
60-64,33,25-29_115,50,45-49_115,51,0.013830966070822034
45-49_115,93,110,102,>65,49,0.046554230878734726
60-64_115,26,30-34_Others,36,30-34_115,80,0.013551730335353233
40-44_115,118,30-34,223,40-44_115,93,7.087087234605133e-05
30-34_110,29,<25,47,25-29_221,44,0.006507157876260244
60-64,33,45-49_115,81,50-54,75,0.021104479288934483
30-34_110,29,30-34_Others,36,25-29_221,44,0.0025481506950337483
60-64,33,30-34_115,57,25-29,110,0.0029741564536395074
50-54,80,110,102,25-29,110,0.021752255304262072
50-54,80,30-34_221,89,106,40,0.00481350122704273
30-34_221,79,110,102,>65,49,0.02066029738413304
60-64_115,26,25-29_115,50,35-39_110,28,0.018316986108712376
50-54_115,50,30-34_Others,36,<25,59,0.012866234724366786
30-34_110,29,<25,47,25-29,110,0.00046192565306026794
60-64,33,35-39_221,88,30-34_221,80,0.0002686844801523022
50-54_115,50,114,71,30-34_221,80,0.012106361111405188
30-34_110,29,Others,121,40-44_115,93,0.00018867002947034649
40-44_221,74,30-34,223,40-44_115,93,2.593435808886816e-05
30-34_110,29,35-39_221,88,30-34_221,80,4.18450743659824e-05
50-54,80,30-34_221,89,40-44_115,93,0.007794637916663205
60-64_115,26,35-39_221,88,45-49_221,37,0.014355217696632363
60-64_115,26,25-29_115,50,45-49_115,51,0.03638203624193578
40-44_110,24,30-34_221,89,40-44_221,68,0.012120885345549377
60-64,33,45-49_115,81,Unknown,35,0.01302106274332005
40-44_221,74,25-29,120,50-54,75,0.01007419668928044
60-64_115,26,Others,121,106,40,0.0031524348965765005
30-34,255,40-44_115,91,40-44_115,93,5.71420231983337e-07
40-44_114,24,Others,121,50-54,75,0.022767887458412437
60-64_115,26,>65,35,30-34_115,80,0.03757184856734779
30-34_110,29,25-29_221,33,<25,59,0.0014560727099586365
30-34_115,99,<25,47,Others,113,0.02737249734164585
60-64,33,25-29_221,33,35-39_110,28,0.04683231655731725
50-54,80,35-39_115,110,35-39_Others,36,0.008784437664197762
30-34_110,29,50-54_115,42,25-29_221,44,0.004403608040455969
25-29_221,28,Others,121,25-29,110,0.02717054174766888
30-34_110,29,Others,121,35-39_Others,36,0.00015849280634454307
60-64_115,26,25-29_221,33,<25,59,0.014941368797355345
<25_115,43,Others,121,50-54,75,0.03854727277008664
30-34_110,29,35-39_115,110,50-54_115,36,0.0004830318163567279
221,388,30-34,223,40-44,217,0.0002918243591231635
30-34_115,99,<25,47,40-44_115,93,0.006185259501501112
30-34_110,29,40-44_115,91,35-39_221,92,0.00017197894213049332
50-54,80,40-44_115,91,35-39_115,132,0.0044202464448713456
30-34_115,99,35-39_221,88,45-49_115,51,0.01570110350311647
30-34_110,29,35-39_114,21,45-49_221,37,0.047724618407078534
35-39,303,30-34,223,40-44,217,0.007119791827224465
60-64_115,26,45-49_115,81,106,40,0.013427192897374056
30-34_110,29,45-49_115,81,35-39_Others,36,0.0016477032161236827
60-64,33,35-39_114,21,110,96,0.002956091834076455
40-44_110,24,35-39_115,110,Others,113,0.02998039480691113
60-64,33,25-29_115,50,25-29_115,29,0.0054587899181551425
30-34_110,29,50-54_115,42,25-29_115,29,0.01180782118555341
60-64_115,26,55-59,28,<25,59,0.02426534528695323
50-54,80,50-54,74,35-39_115,132,0.015524773864954109
35-39,303,30-34,223,40-44_115,93,3.45247318327652e-05
221,388,45-49,177,45-49,138,0.0028771843264850066
50-54_115,50,40-44_221,70,30-34_221,80,0.027169197406782673
60-64_115,26,25-29_115,50,110,96,0.002364606476362704
60-64,33,40-44_Others,21,25-29_221,44,0.030083797306160686
35-39,303,25-29,120,40-44_221,68,0.032811986381889605
60-64,33,25-29_115,50,25-29,110,0.00036890810116737974
50-54,80,40-44_221,70,30-34,214,7.357077635647224e-05
45-49_115,93,110,102,30-34_221,80,0.012039078728129215
50-54_115,50,40-44_115,91,45-49_115,51,0.048234278498116206
30-34_110,29,40-44_221,70,>65,49,0.015213412251098095
50-54,80,50-54,74,30-34_221,80,0.018960245831153785
45-49_115,93,30-34_221,89,40-44_115,93,0.009941575018666887
60-64_115,26,35-39_221,88,45-49_115,51,0.024062834153702552
60-64,33,45-49_221,53,110,96,0.0021642877332464583
50-54_115,50,>65,35,30-34_221,80,0.0454577685660333
40-44_110,24,25-29,120,30-34_221,80,0.010754867491762648
60-64,33,35-39_Others,28,25-29,110,0.0033175580158251376
35-39,303,110,102,Others,113,0.0015601844116012989
60-64,33,40-44_221,70,35-39_221,92,0.012289077850925628
40-44_110,24,Unknown,45,110,96,0.042185077967861924
30-34,255,40-44,236,40-44,217,7.058957668991198e-05
50-54_115,50,Unknown,45,30-34_221,80,0.013447155440912052
60-64,33,Unknown,45,35-39_110,28,0.015399151666381611
221,388,40-44,236,40-44,217,0.006565698872857896
30-34_221,79,30-34_221,89,50-54,75,0.0016503940161366386
60-64,33,>65,35,30-34_115,80,0.013549736033520453
40-44_110,24,25-29,120,55-59,37,0.04004089210955236
114,61,30-34_221,89,25-29,110,0.032768392428556614
50-54_115,50,25-29_115,50,110,96,0.004748432375104399
30-34_110,29,<25,47,30-34_115,80,0.001872890555052505
30-34_115,99,60-64,27,50-54,75,0.006503065086481143
60-64_115,26,25-29_115,50,45-49_221,37,0.021626281096925208
50-54,80,50-54,74,110,96,0.013593576937764524
50-54,80,25-29,120,30-34,214,6.645126172875332e-06
60-64,33,30-34_Others,36,25-29,110,0.000912890437314657
