grp1,grp1_size,grp2,grp2_size,grp3,grp3_size,p-value
30-34_221,79,45-49_115,81,40-44_221,68,0.03835444914555024
60-64_115,26,<25,47,30-34_221,80,0.014116111437373251
45-49,183,Others,121,50-54,75,0.0017521458731935662
50-54_115,50,Others,121,110,96,0.001494722547631124
50-54_115,50,114,71,110,96,0.009294024146576853
45-49,183,114,71,40-44_115,93,0.027564233858483705
30-34_110,29,25-29_221,33,>65,49,0.02029472133040477
60-64_115,26,Unknown,45,35-39_110,28,0.04147878024757051
30-34_110,29,35-39_114,21,>65,49,0.03445227133883132
60-64,33,50-54,74,35-39_Others,36,0.02708980450935836
30-34_110,29,35-39_110,29,>65,49,0.009701547365510113
45-49_115,93,35-39_221,88,40-44_115,93,0.043386334275622586
60-64_115,26,25-29,120,106,40,0.001986292021360536
40-44_110,24,35-39_115,110,30-34_115,80,0.02951879639411518
30-34_110,29,25-29_115,50,<25,59,0.00013617956226739453
60-64_115,26,30-34_115,57,30-34_115,80,0.03125028841351411
40-44_110,24,30-34_221,89,114,55,0.014715489362416125
221,388,30-34,223,35-39_115,132,0.004405182075817595
50-54,80,35-39_221,88,45-49,138,0.013107489305877764
30-34_115,99,50-54_115,42,50-54,75,0.005033613906954348
50-54,80,50-54,74,45-49,138,0.04933429619371686
60-64_115,26,60-64,27,30-34_221,80,0.016639364312348366
60-64_115,26,50-54_115,42,25-29_221,44,0.035682884485082125
60-64_115,26,25-29_221,33,25-29,110,0.011227332736256477
50-54_115,50,30-34_221,89,25-29,110,0.001049281368599456
30-34_115,99,110,102,40-44_115,93,0.004646258503374025
<25_115,43,35-39_115,110,50-54,75,0.03847250976326617
45-49_115,93,30-34_221,89,50-54,75,0.0038473266361140333
30-34_110,29,55-59,28,30-34_221,80,0.003410942303378702
60-64,33,Unknown,45,>65,49,0.015708489297703018
40-44_221,74,30-34_221,89,40-44_115,93,0.024376601267341872
30-34_110,29,40-44_221,70,25-29,110,0.00044571633672296155
30-34_110,29,25-29_115,50,>65,49,0.0018154167033112899
60-64_115,26,Unknown,45,110,96,0.005449468959197772
30-34_115,99,45-49_221,53,40-44_115,93,0.004735099405620821
50-54_115,50,Others,121,50-54,75,0.010312701556965951
60-64_115,26,25-29,120,110,96,0.0005416553455304514
30-34,255,30-34,223,45-49,138,5.314978825732821e-06
60-64,33,<25,47,110,96,0.0021955137313393576
45-49,183,35-39_115,110,40-44_115,93,0.009313541624002119
25-29_221,28,25-29,120,45-49_221,37,0.03655573301255788
60-64_115,26,55-59,28,30-34_221,80,0.021440189599912507
30-34_221,79,55-59,28,110,96,0.010779926569443439
30-34_115,99,50-54,74,>65,49,0.047528133842821174
50-54_115,50,60-64,27,<25,59,0.029955845144745925
30-34_221,79,25-29,120,40-44_221,68,0.017491723166358226
40-44_221,74,30-34,223,35-39_221,92,0.0022549749217273263
50-54,80,<25,47,30-34_221,80,0.03094747709590317
50-54,80,25-29,120,45-49,138,0.0024734038586443114
50-54_115,50,Unknown,45,25-29_221,44,0.03571370816837168
30-34_221,79,45-49_221,53,45-49_115,51,0.043416776067095125
50-54_115,50,40-44_115,91,40-44_221,68,0.04169860349356575
60-64,33,25-29_221,33,25-29_221,44,0.018484620135182935
50-54_115,50,35-39_115,110,25-29,110,0.0015600858902982736
30-34_110,29,25-29,120,40-44_221,68,0.00010881357248798062
30-34_221,79,35-39_115,110,50-54,75,0.0023804679173934393
50-54_115,50,25-29_221,33,30-34_115,80,0.037046710825062126
60-64_115,26,114,71,30-34_221,80,0.005889433307133776
40-44,291,221,394,35-39,321,0.016857871508434666
30-34_115,99,>65,35,<25,59,0.014549530721726954
30-34,255,40-44_115,91,35-39_115,132,0.0002904180844681143
40-44_114,24,30-34_221,89,40-44_221,68,0.026443602682291987
60-64,33,45-49_115,81,114,55,0.00477461232414124
60-64,33,30-34_115,57,35-39_110,28,0.04136379315979496
40-44_114,24,35-39_115,110,<25,59,0.032245797457441626
30-34_110,29,45-49_115,81,55-59,37,0.0039869873145642575
30-34_221,79,55-59,28,30-34_221,80,0.011021267907141459
30-34_115,99,110,102,30-34_221,80,0.0014431821856054512
40-44_115,118,25-29,120,50-54,75,0.01410335389975585
50-54,80,Others,121,50-54,75,0.010931693064709846
60-64_115,26,Unknown,45,25-29_221,44,0.021255590987630024
60-64_115,26,35-39_114,21,30-34_115,80,0.029113187918625365
<25,90,Others,121,50-54,75,0.013801704203234053
35-39_115,126,40-44_115,91,50-54,75,0.022369857062097025
30-34_221,79,40-44_Others,21,40-44_221,68,0.04769379969410926
40-44_110,24,25-29_221,33,<25,59,0.04537092889439371
50-54,80,50-54_115,42,25-29,110,0.013495574207806548
30-34_110,29,114,71,114,55,0.003638413310804008
60-64_115,26,110,102,110,96,0.02049922356777359
50-54,80,30-34,223,45-49,138,1.490700232054767e-06
40-44_110,24,30-34_221,89,40-44_115,93,0.01028443978555036
50-54,80,40-44_115,91,110,96,0.004040683206390249
60-64_115,26,45-49_115,81,114,55,0.02105842999432455
30-34_115,99,114,71,50-54,75,0.0029977140458409776
60-64_115,26,30-34_221,89,40-44_221,68,0.003336952459797714
30-34_110,29,40-44_221,70,40-44_115,93,0.028943196053742005
50-54_115,50,>65,35,<25,59,0.04469430132913748
60-64_115,26,Others,121,50-54,75,0.006639340779572286
30-34_110,29,45-49_221,53,35-39_Others,36,0.03303804721820007
30-34_110,29,35-39_114,21,106,40,0.02581975311428243
60-64,33,25-29_221,33,25-29_115,29,0.04285355929463823
40-44_115,118,30-34,223,35-39_115,132,0.002603902157446519
30-34_115,99,25-29,120,50-54,75,0.0005124232123821705
60-64_115,26,35-39_115,110,45-49_221,37,0.004131003929547946
114,61,30-34_221,89,35-39_221,92,0.039733963505663786
50-54,80,35-39_221,88,25-29,110,0.003332092703616163
30-34_115,99,>65,35,>65,49,0.024508058509567603
30-34_115,99,35-39_114,21,45-49_115,51,0.02340876761630827
50-54_115,50,30-34_221,89,40-44_221,68,0.0072224327977049585
50-54,80,45-49_115,81,114,55,0.04097395397668486
30-34_115,99,25-29,120,45-49,138,0.040959728440694544
40-44_114,24,30-34_221,89,45-49_221,37,0.04113835110678212
60-64_115,26,<25,47,<25,59,0.012957847423620127
30-34_110,29,30-34_Others,36,50-54_221,22,0.01404262412284442
40-44_Others,30,35-39_115,110,50-54,75,0.03025244674383656
60-64,33,Unknown,45,30-34_115,80,0.0027684958167851484
115,672,221,394,115,486,2.743267986480198e-06
30-34_110,29,45-49_115,81,114,55,0.0012326551198456564
