grp1,grp1_size,grp2,grp2_size,p-value
40-44_221,72,221_110411,34,0.003489459871495626
25-29_115,84,45-49_221,50,0.04316951790479595
100511,31,110401,76,0.0062034411072652285
130315,57,100511,30,0.036109071254659786
25-29,126,100511,30,0.0002560431697791188
100511,31,Unknown,58,0.004413232270047307
30-34_115,188,110,157,0.03698529590188049
<25_115_110411,21,45-49_115,65,0.0012841701368875302
30-34_115,188,115_110411,30,1.0164757924258083e-11
50-54,80,45-49_221,50,0.009750806354123398
130308,22,Unknown,58,0.016618285943386546
50-54,80,45-49_Others,22,0.0006907520667039924
110401,96,110,157,1.4394700671882532e-05
25-29_115,84,100511,30,0.0007645351940211986
<25_110411,29,40-44_110,52,0.00034807627461541646
<25_110411,29,110217,40,0.03617440088319335
30-34_115,188,40-44_115,140,0.03259610239875255
130308,22,45-49_115,65,7.136166329269056e-05
40-44_110411,24,40-44_221,118,0.004088955336271294
115_110411,85,25-29,194,1.7314731537432237e-08
100205,72,221_110411,34,0.00211040889996017
100511,31,<25_115,45,0.01678769850797246
40-44_110411,24,<25,75,0.010225476851903448
60-64,88,221_110411,34,0.03610206540447103
35-39_110401,21,45-49_Others,22,0.03153688999907267
712901,24,45-49_Others,22,0.025239083995417855
<25_110411,29,106,36,0.03177847944611212
55-59,53,45-49_221,50,0.025946546608035526
40-44_110411,24,<25_115,45,0.03913831557981151
<25_115,141,110411,72,5.521139101460903e-13
120103,93,221_110411,34,0.008939587574321894
110,72,35-39_221,170,0.014160782905909275
