grp1,grp1_size,grp2,grp2_size,p-value
brazil_2000's,106,norm,0,4.168761405088552e-215
italy_25-34_80's,22,norm,0,2.3058189526862034e-144
czech republic_18-24_2000's,14,norm,0,5.058136942590047e-92
portugal_35-44_80's,39,norm,0,6.713803110740555e-176
philippines_35-44_90's,17,norm,0,1.1913889456558053e-111
netherlands_35-44_70's,12,norm,0,6.155763522445196e-79
35-44_90's,30670,norm,0,0.0
canada_18-24_2000's,592,norm,0,0.0
germany_35-44,1079,norm,0,0.0
malaysia_<18,123,norm,0,0.0
netherlands_>56_90's,27,norm,0,4.4626912663187784e-177
spain_18-24,565,norm,0,0.0
portugal_25-34,1627,norm,0,0.0
united kingdom_25-34_2000's,1183,norm,0,0.0
germany_25-34_60's,17,norm,0,1.1913889456558053e-111
italy_>56_90's,11,norm,0,2.1474724457772228e-72
france_80's,233,norm,0,0.0
romania_35-44,19,norm,0,9.78953856340034e-125
austria_25-34_2000's,192,norm,0,0.0
malaysia_2000's,511,norm,0,0.0
france_45-49_2000's,107,norm,0,0.0
brazil_35-44,26,norm,0,1.556834744136414e-170
france_50-55_90's,25,norm,0,5.431104855589986e-164
france_25-34_70's,50,norm,0,6.547540586674824e-144
romania_18-24_90's,146,norm,0,0.0
germany_18-24_90's,289,norm,0,0.0
united kingdom_50-55_2000's,246,norm,0,0.0
malaysia_45-49_2000's,20,norm,0,2.8061866176047734e-131
chile,24,norm,0,7.389993770180135e-40
japan,207,norm,0,0.0
egypt_35-44_2000's,21,norm,0,1.24756233506293e-24
switzerland_45-49,27,norm,0,6.591549102776618e-122
romania_80's,90,norm,0,0.0
portugal_25-34_70's,22,norm,0,2.3058189526862034e-144
united kingdom_<18_90's,39,norm,0,1.3137784419157196e-61
35-44_50's,143,norm,0,0.0
25-34_40's,17,norm,0,1.1913889456558053e-111
taiwan,170,norm,0,3.9223446178573016e-273
usa_45-49_70's,268,norm,0,0.0
singapore_25-34_2000's,22,norm,0,5.9482052755371656e-30
portugal_35-44,361,norm,0,0.0
spain,3009,norm,0,0.0
usa_35-44_80's,4959,norm,0,0.0
italy_25-34_90's,155,norm,0,0.0
usa_<18_2000's,1898,norm,0,0.0
dominican republic_25-34_2000's,79,norm,0,0.0
netherlands_35-44_90's,286,norm,0,0.0
germany_35-44_2000's,453,norm,0,0.0
romania_18-24,315,norm,0,0.0
finland_<18,50,norm,0,2.1591589650835148e-225
germany_25-34_80's,213,norm,0,0.0
australia_45-49,259,norm,0,0.0
trinidad and tobago_25-34_2000's,11,norm,0,8.178720105310867e-11
spain_18-24_90's,267,norm,0,0.0
austria_25-34_90's,137,norm,0,3.1268719941614296e-224
trinidad and tobago_25-34_90's,11,norm,0,5.424261275586197e-32
new zealand_18-24_2000's,48,norm,0,3.593157639543739e-138
portugal_<18_2000's,15,norm,0,1.4499229055979413e-98
united kingdom_2000's,2906,norm,0,0.0
france_18-24_70's,27,norm,0,4.4626912663187784e-177
dominican republic_25-34_90's,46,norm,0,2.1843844124088784e-301
kuwait_2000's,21,norm,0,7.180667054849934e-22
cyprus,17,norm,0,6.491373036066373e-77
netherlands_35-44_80's,56,norm,0,2.5286625963362512e-98
70's,3668,norm,0,0.0
usa_18-24_2000's,5095,norm,0,0.0
malaysia_<18_90's,66,norm,0,0.0
trinidad and tobago_90's,13,norm,0,9.88422285283842e-38
portugal_<18_90's,17,norm,0,6.491373036066373e-77
iran_18-24_80's,18,norm,0,3.4151351404455983e-118
canada_35-44_2000's,1823,norm,0,0.0
greece_25-34,12,norm,0,6.155763522445196e-79
canada_35-44_80's,544,norm,0,0.0
iran_80's,66,norm,0,0.0
trinidad and tobago_2000's,11,norm,0,8.178720105310867e-11
usa_50's,455,norm,0,0.0
usa_18-24,14865,norm,0,0.0
united kingdom_<18,76,norm,0,3.825886622689178e-140
brazil_25-34_80's,17,norm,0,1.1913889456558053e-111
usa_25-34_60's,148,norm,0,0.0
slovenia_25-34,12,norm,0,6.155763522445196e-79
czech republic,41,norm,0,1.1286451778770485e-268
switzerland_90's,298,norm,0,0.0
>56_90's,10491,norm,0,0.0
new zealand_<18,23,norm,0,9.579781925257552e-32
canada_25-34_50's,21,norm,0,6.276135520123312e-35
china_25-34_80's,15,norm,0,1.4499229055979413e-98
australia_50-55_90's,66,norm,0,0.0
portugal_2000's,896,norm,0,0.0
iran_90's,195,norm,0,0.0
czech republic_18-24,32,norm,0,8.637110608912666e-210
45-49_50's,38,norm,0,4.791753264215119e-249
sweden_25-34,81,norm,0,0.0
netherlands_50-55_2000's,57,norm,0,0.0
sweden_2000's,42,norm,0,2.1328675081258067e-189
switzerland_25-34_2000's,107,norm,0,2.6692108230323537e-211
mexico_50-55,20,norm,0,2.8061866176047734e-131
france_>56,19,norm,0,9.78953856340034e-125
austria_35-44_90's,45,norm,0,8.067128388807416e-75
china_25-34_90's,72,norm,0,0.0
netherlands_45-49_2000's,65,norm,0,1.1419662709307187e-98
germany_45-49_2000's,117,norm,0,5.949330247272823e-235
switzerland_50-55_90's,46,norm,0,2.1843844124088784e-301
germany_>56_2000's,21,norm,0,6.531259462195338e-95
canada_25-34_90's,4430,norm,0,0.0
new zealand_25-34_80's,12,norm,0,7.322199618961201e-35
philippines_<18,78,norm,0,1.7370265625685455e-124
iran_18-24_90's,25,norm,0,5.431104855589986e-164
netherlands_>56,71,norm,0,0.0
canada_50's,47,norm,0,5.160665044459615e-79
usa_18-24_90's,7599,norm,0,0.0
belgium_25-34_2000's,58,norm,0,2.18577451189037e-261
new zealand_18-24_90's,50,norm,0,0.0
south africa,39,norm,0,1.672641508784192e-64
usa_25-34,66304,norm,0,0.0
norway,112,norm,0,7.8e-322
canada_70's,318,norm,0,0.0
portugal_70's,27,norm,0,4.4626912663187784e-177
canada_>56_90's,987,norm,0,0.0
portugal_25-34_90's,804,norm,0,0.0
<18_80's,960,norm,0,0.0
usa_>56_60's,28,norm,0,1.2792374664997095e-183
finland_>56_90's,11,norm,0,2.1474724457772228e-72
brazil,329,norm,0,0.0
philippines_80's,29,norm,0,6.611769070211648e-131
25-34_80's,9575,norm,0,0.0
singapore_35-44_2000's,14,norm,0,5.058136942590047e-92
belgium_2000's,76,norm,0,1.5992017819444382e-218
united kingdom_50's,16,norm,0,4.156226800575894e-105
usa_<18,6020,norm,0,0.0
germany_25-34_70's,48,norm,0,2.1525558724017486e-216
new zealand_35-44_2000's,75,norm,0,7.19691173716131e-117
bulgaria_2000's,17,norm,0,1.1913889456558053e-111
usa_40's,38,norm,0,4.791753264215119e-249
<18_50's,31,norm,0,1.795889394972252e-39
united kingdom_18-24_80's,46,norm,0,2.1843844124088784e-301
canada_>56_80's,206,norm,0,0.0
spain_18-24_2000's,241,norm,0,0.0
japan_18-24,19,norm,0,9.78953856340034e-125
spain_80's,266,norm,0,0.0
germany_25-34_2000's,934,norm,0,0.0
usa_45-49_60's,37,norm,0,1.671629857830791e-242
france_18-24_80's,60,norm,0,4.0964073537106526e-107
new zealand_2000's,207,norm,0,0.0
philippines_18-24_80's,11,norm,0,6.431999656437205e-50
canada_90's,11056,norm,0,0.0
iceland_25-34_90's,16,norm,0,4.156226800575894e-105
netherlands_90's,660,norm,0,0.0
france_70's,117,norm,0,5.949330247272823e-235
israel,42,norm,0,2.2774032897411015e-56
spain_50-55_90's,28,norm,0,1.2792374664997095e-183
austria_18-24_2000's,29,norm,0,4.5036400396516487e-48
usa_35-44_70's,635,norm,0,0.0
germany_25-34_90's,1107,norm,0,0.0
canada_<18,412,norm,0,0.0
45-49_90's,11445,norm,0,0.0
austria_35-44_2000's,49,norm,0,4.8503964249567617e-141
germany_35-44_90's,518,norm,0,0.0
philippines_<18_80's,11,norm,0,2.1474724457772228e-72
usa_35-44_90's,24682,norm,0,0.0
italy,700,norm,0,0.0
malaysia_18-24_90's,254,norm,0,0.0
germany_<18_2000's,36,norm,0,1.4205322916608125e-59
netherlands_80's,162,norm,0,0.0
united kingdom_80's,509,norm,0,0.0
spain_35-44_80's,67,norm,0,1.0744707279277293e-192
spain_45-49_2000's,74,norm,0,0.0
qatar_90's,44,norm,0,2.65840052128345e-288
iceland,31,norm,0,3.013104219507518e-203
australia_35-44_80's,60,norm,0,0.0
china_2000's,117,norm,0,3.2450659030661767e-242
brazil_90's,178,norm,0,0.0
germany_35-44_70's,14,norm,0,5.058136942590047e-92
mexico_2000's,36,norm,0,1.4205322916608125e-59
luxembourg,28,norm,0,8.901372788907229e-81
spain_35-44_70's,20,norm,0,2.8061866176047734e-131
mexico_25-34,12,norm,0,6.155763522445196e-79
romania_2000's,152,norm,0,0.0
spain_35-44_2000's,309,norm,0,0.0
canada_35-44,5160,norm,0,0.0
france_25-34_2000's,450,norm,0,0.0
switzerland_35-44,170,norm,0,2.087e-320
australia_>56_2000's,92,norm,0,5.5931869199997535e-136
italy_35-44_80's,24,norm,0,1.8946712272133442e-157
mexico,76,norm,0,1.729163984700608e-120
united kingdom_18-24,613,norm,0,0.0
brazil_45-49_2000's,31,norm,0,3.013104219507518e-203
turkey,23,norm,0,3.2483300699148637e-38
>56_70's,249,norm,0,0.0
iceland_2000's,11,norm,0,2.1474724457772228e-72
germany_50-55_2000's,25,norm,0,3.618712640339054e-72
>56_60's,31,norm,0,3.013104219507518e-203
italy_45-49,11,norm,0,7.010121129959073e-12
50-55_2000's,8958,norm,0,0.0
bulgaria_25-34_2000's,17,norm,0,1.1913889456558053e-111
ireland_2000's,70,norm,0,4.165710854625125e-107
chile_25-34,19,norm,0,1.2126192911173552e-31
switzerland_50-55_2000's,34,norm,0,1.764568944919147e-52
usa_25-34_80's,7219,norm,0,0.0
usa_25-34_70's,938,norm,0,0.0
18-24_50's,83,norm,0,0.0
canada_18-24_80's,215,norm,0,0.0
egypt_35-44,29,norm,0,1.873935921808659e-36
canada_25-34_60's,25,norm,0,3.618712640339054e-72
canada_50-55,1866,norm,0,0.0
brazil_45-49_80's,14,norm,0,5.058136942590047e-92
italy_25-34,329,norm,0,0.0
poland_<18_90's,31,norm,0,3.013104219507518e-203
philippines_18-24_90's,28,norm,0,1.2792374664997095e-183
usa_50-55_2000's,7666,norm,0,0.0
35-44_60's,120,norm,0,1.0515245614061353e-213
spain_70's,79,norm,0,0.0
qatar_25-34_90's,26,norm,0,1.556834744136414e-170
luxembourg_25-34,24,norm,0,2.680730362995778e-69
new zealand_70's,14,norm,0,5.058136942590047e-92
united kingdom_>56_90's,200,norm,0,0.0
spain_25-34_90's,533,norm,0,0.0
south africa_2000's,14,norm,0,1.9897791404418387e-23
italy_>56,18,norm,0,3.4151351404455983e-118
