group1,group2,coverage_gained_1,coverage_gained_2,p-value,n,algorithm,samples,wealth,alpha_j,nb_refus_before
F_50-55_executive-managerial_70's,1,0.0249418024609245,0.0,0.0006599275525999,25,COVER_G_BY,20.0,,,
F_18-24_writer_70's,1,0.0264383106085799,0.0,1.3095471396225747e-05,25,COVER_G_BY,20.0,,,
>56_artist_Long_2000's,1,0.0276022613900897,0.0,0.0015214322653226,25,COVER_G_BY,20.0,,,
doctor-health care_Long_20's,1,0.0282673761223811,0.0,0.0025241297068125,25,COVER_G_BY,20.0,,,
F_18-24_K-12 student_Long,1,0.0287662121715996,0.0,3.6170210951655312e-06,25,COVER_G_BY,20.0,,,
M_50-55_customer service_2000's,1,0.029265048220818,0.0,0.0049954123083075,25,COVER_G_BY,20.0,,,
M_18-24_doctor-health care_50's,1,0.0297638842700365,0.0,0.0119214959381596,25,COVER_G_BY,20.0,,,
>56_self-employed_50's,1,0.0300964416361822,0.0,1.8351047101281382e-05,25,COVER_G_BY,20.0,,,
M_25-34_unemployed_50's,1,0.030262720319255,0.0,0.0059347090072011,25,COVER_G_BY,20.0,,,
F_<18_K-12 student_2000's,1,0.006817426005986,0.0,1.589939176998122e-11,25,COVER_G_BN,20.0,,,
M_25-34_college-grad student_30's,1,0.0114732291320252,0.0,5.85509393074879e-06,25,COVER_G_BN,20.0,,,
35-44_artist_Long_2000's,1,0.0154639175257731,0.0,1.7430706686422954e-07,25,COVER_G_BN,20.0,,,
